Watching for file changes with StatReloader
/home/wolf/Projekte/dev/venv/tourguidecambodia/tourguidecambodia/urls.py changed, reloading.
Watching for file changes with StatReloader
Watching for file changes with StatReloader
"GET /media/images/adult-casual-close-up-2857942.2e16d0ba.fill-.max-165x165.jpg HTTP/1.1" 304 0
"GET /media/images/blurred-background-casual-close-up.2e16d0ba..max-165x165.jpg HTTP/1.1" 304 0
"GET /admin/api/main/pages/?child_of=1&for_explorer=1&fields=parent HTTP/1.1" 200 1510
"GET /admin/api/main/pages/?translation_of=3&limit=20&fields=parent&has_children=1 HTTP/1.1" 200 84
"GET /admin/api/main/pages/?child_of=3&for_explorer=1&fields=parent HTTP/1.1" 200 1562
"GET /admin/pages/4/ HTTP/1.1" 200 22288
"GET /admin/pages/4/add_subpage/ HTTP/1.1" 200 23409
"GET /admin/pages/add/ourteam/tourguidepage/4/ HTTP/1.1" 200 44030
"GET /static/wagtailsnippets/js/snippet-chooser.js?v=b7056808 HTTP/1.1" 200 2113
"GET /static/wagtailsnippets/js/snippet-chooser-modal.js?v=b7056808 HTTP/1.1" 200 2282
"GET /admin/images/chooser/ HTTP/1.1" 200 10382
"GET /media/images/Battambang_locator_map.max-165x165.max-165x165.png HTTP/1.1" 304 0
"GET /media/images/Siem_Reap_locator_map.2e16d0ba.fill-100x100.max-165x165.png HTTP/1.1" 304 0
"GET /media/images/blurred-background-casual-close-up.2e16d0ba..max-165x165.jpg HTTP/1.1" 304 0
"GET /media/images/adult-casual-close-up-2857942.2e16d0ba.fill-.max-165x165.jpg HTTP/1.1" 304 0
"GET /media/images/AnkgorWat_panorama_dark.width-1368.max-165x165.jpg HTTP/1.1" 304 0
"GET /media/images/P1020085.2e16d0ba.fill-400x320.max-165x165.jpg HTTP/1.1" 304 0
"GET /media/images/Battambang_shrine.max-165x165.max-165x165.jpg HTTP/1.1" 304 0
"GET /admin/images/chooser/4/ HTTP/1.1" 200 269
"GET /admin/images/chooser/4/ HTTP/1.1" 200 269
"GET /admin/snippets/choose/tours/tourprovince/ HTTP/1.1" 200 2058
"GET /admin/snippets/choose/tours/tourprovince/1/ HTTP/1.1" 200 118
"POST /admin/pages/add/ourteam/tourguidepage/4/ HTTP/1.1" 302 0
"GET /admin/pages/4/ HTTP/1.1" 200 26812
"GET /admin/pages/4/add_subpage/ HTTP/1.1" 200 23409
"GET /admin/pages/add/ourteam/tourguidepage/4/ HTTP/1.1" 200 44030
"GET /admin/images/chooser/ HTTP/1.1" 200 10382
"GET /media/images/Battambang_locator_map.max-165x165.max-165x165.png HTTP/1.1" 304 0
